"commentsCount","likesCount","videoViewCount","timestamp","videoDuration"
"2133","382488","3495619","2023-12-06T22:54:29.000Z","68.034"
"6427","3016938","26300309","2023-05-02T22:32:00.000Z","77.2"
"5321","1297677","8001079","2022-03-30T02:18:17.000Z","14.6"
"1663","614516","3556623","2022-05-11T15:51:05.000Z","16.433"
"13804","7725866","40575126","2022-05-10T03:21:29.000Z","25.9"
"6393","1995769","10911033","2022-03-26T14:40:19.000Z","11.533"
"34689","4842027","27834677","2021-10-05T18:40:11.000Z","26.486"
"28711","2137264","14328841","2022-01-26T21:20:22.000Z","27.266"
"7036","2691374","14878489","2022-05-10T18:08:32.000Z","34.433"
"12023","3294277","18015124","2021-08-04T16:38:41.000Z","20.033"
"9896","5450216","22989851","2022-05-09T22:35:40.000Z","45.433"
"50855","6454398","34138770","2021-09-24T18:33:14.000Z","60.033"
"12609","2548900","15133566","2021-05-25T17:12:13.000Z","7.366"
"30766","3361846","10759254","2021-03-03T00:14:07.000Z","6"
"291792","24580123","165231623","2021-09-07T23:29:14.000Z","90.7"
"25127","3102408","22039545","2021-08-01T15:31:03.000Z","17.6"
"14339","2098813","12057508","2021-07-09T16:00:14.000Z","12.3"
"7032","1216838","6931247","2021-03-31T03:24:19.000Z","15.033"
"13283","5400550","25009106","2021-04-03T01:46:22.000Z","4.466"
"12616","4633618","35779422","2021-07-15T01:51:24.000Z","20.366"
"46754","11456564","42967103","2021-02-01T16:19:00.000Z","20"
"28571","6783832","25178796","2021-01-03T18:01:31.000Z","41.033"
"11123","3421195","10663807","2021-01-20T16:39:43.000Z","7.033"
"6387","1620726","9718660","2020-11-18T20:19:50.000Z","26.533"
"22246","3484442","23144664","2020-10-26T18:09:51.000Z","39.533"
"10878","2776406","14789862","2020-07-09T17:32:06.000Z","4.666"
"21610","2099475","9781202","2020-08-02T18:24:46.000Z","12.1"
"37389","6332121","27813856","2020-10-21T07:57:45.000Z","4.566"
"62763","11094316","58740162","2020-09-08T18:37:01.000Z","9.533"
"717","253626","2063179","2020-12-05T00:13:31.000Z","20"
"10322","3341521","11072646","2020-08-16T18:07:20.000Z","8.266"
"79999","3038642","19621301","2020-05-18T17:44:55.000Z","21.633"
"35433","7376397","45828646","2020-10-30T05:13:36.000Z","5.3"
"26053","7601786","46809848","2020-04-28T03:30:26.000Z","10.633"
"23831","6869449","45723843","2021-03-29T18:14:43.000Z","20"
"75609","8535144","51827624","2020-04-28T16:53:39.000Z","39.366"
"33059","4591016","17276969","2020-06-29T01:09:28.000Z","6.066"
"62258","8431125","48240009","2021-04-07T21:10:44.000Z","3.3"
"273741","11468338","69965159","2020-05-12T03:39:30.000Z","68.2"
"27195","5422800","28856931","2020-05-15T02:52:50.000Z","30.033"
"5587","1300144","13758347","2021-05-19T16:25:52.000Z","60.066"
"5566","1807679","10525695","2021-07-15T14:58:43.000Z","30.266"
"49690","5340028","33762904","2020-05-20T23:13:14.000Z","29.833"
"25993","5046692","33480051","2020-04-28T04:17:55.000Z","13.933"
"5767","1604311","7836114","2020-06-21T00:26:54.000Z","18.666"
"20849","3071508","16002075","2020-06-20T19:15:46.000Z","45.7"
"4686","1461810","8775381","2021-07-12T16:31:17.000Z","57.633"
"8388","1752385","8704681","2020-11-09T19:24:30.000Z","15.433"
"115739","14200645","59859449","2020-10-01T23:53:47.000Z","15.066"
"20793","4954510","18797588","2020-11-23T20:53:58.000Z","6"
"4121","1001583","4926071","2020-11-30T21:18:01.000Z","57.466"
"47948","5577228","26705596","2020-05-24T22:20:08.000Z","12.666"
"6045","1638018","11519300","2021-10-06T15:02:53.000Z","35.833"
"23964","2766798","18296598","2020-02-03T04:10:47.000Z","6.533"
"34931","3622134","17077888","2020-02-01T23:56:32.000Z","5.133"
"15076","1415485","8695619","2021-06-18T23:06:29.000Z","19.366"
"26465","1941216","18753064","2020-02-04T23:38:12.000Z","8.066"
"16414","3478859","10676336","2021-05-17T01:03:36.000Z","6.533"
"12482","2843623","9444063","2019-11-15T16:55:45.000Z","8.133"
"88636","3025817","23310150","2019-10-22T18:23:14.000Z","15"
"47033","6110881","25950910","2019-10-04T23:54:35.000Z","44.3"
"114484","3654376","14639619","2020-02-22T03:48:53.000Z","5.7"
"87485","7360711","28951000","2019-10-28T19:29:39.000Z","9.333"
"46621","5891826","29465858","2020-01-18T02:01:56.000Z","57.4"
"20220","2444695","18259278","2019-09-12T22:12:32.000Z","25.1"
"65828","7205370","43640140","2020-04-03T22:14:02.000Z","11.033"
"82188","8399126","35904349","2019-10-17T19:17:37.000Z","30.466"
"122548","11568061","38083417","2019-08-10T21:09:14.000Z","16.9"
"19406","3822311","20993591","2019-09-19T02:50:20.000Z","6.4"
"76117","7398873","34245173","2020-02-09T03:58:53.000Z","14.766"
"19785","2550670","6541430","2019-12-11T21:53:15.000Z","5.7"
"84799","5713806","31598097","2019-08-30T18:22:35.000Z","59.9"
"40598","5192309","20444438","2019-10-04T19:12:42.000Z","13.8"
"42273","3422777","31408575","2019-09-10T19:01:38.000Z","26.366"
"27613","2506113","12568309","2019-08-15T21:15:30.000Z","14.766"
"32562","4639906","25861477","2019-08-09T01:02:46.000Z","23.566"
"10496","1146935","5476399","2019-08-09T16:02:06.000Z","10.666"
"17254","834004","5781123","2019-07-22T17:08:10.000Z","4.5"
"24092","4310473","17579970","2019-09-28T17:18:10.000Z","6.566"
"75861","8633213","52221522","2020-04-27T22:21:42.000Z","13.833"
"14967","1839054","14175056","2019-06-13T16:42:09.000Z","35.633"
"48091","5977067","33748029","2019-12-12T23:43:08.000Z","15"
"58292","2374656","13692634","2019-07-12T15:01:04.000Z","60.033"
"40995","1372678","7959500","2020-01-28T18:15:36.000Z","6.4"
"25924","4892618","33228769","2020-02-07T03:28:27.000Z","13.8"
"15230","1033537","6628923","2019-08-10T00:34:25.000Z","11.733"
"134104","6657765","40571233","2019-03-18T04:22:33.000Z","22.335"
"39902","3721709","19193792","2019-06-30T03:15:34.000Z","8.6"
"25730","3164930","17101805","2019-05-07T06:56:22.000Z","8.933"
"17695","2533201","12394521","2019-01-17T23:46:44.000Z","29.369"
"23090","4897987","29369084","2019-01-19T15:20:31.000Z","24.369"
"18473","2478060","15739751","2018-11-11T23:04:45.000Z","4.766"
"16235","4859495","26832171","2019-05-07T05:44:10.000Z","9.76"
"23626","2401868","17636544","2019-07-05T18:19:56.000Z","7.766"
"181770","7087770","44791543","2019-04-01T15:54:10.000Z","19.135"
"55484","4036744","22483364","2019-02-04T01:54:29.000Z","15.001"
"18072","5152819","26044062","2019-05-07T02:32:25.000Z","14.99"
"160924","5688282","30699752","2018-11-07T03:59:18.000Z","15"
"99089","8857268","50199459","2019-01-09T01:53:09.000Z","18.867"
"69123","2847176","19625388","2018-12-04T03:24:31.000Z","13.8"
"74554","4201816","46644098","2019-01-14T02:04:28.000Z","15.7"
"28007","1643081","15028635","2018-11-08T21:15:32.000Z","6.6"
"7670","1215328","5157713","2019-09-27T15:09:24.000Z","16.933"
"17219","1018738","5439766","2019-05-11T18:51:19.000Z","30.6"
"138228","7788699","48244521","2018-11-18T19:02:27.000Z","22.733"
"22255","2186928","15155664","2019-05-17T19:22:40.000Z","25.633"
"28259","2971475","20051631","2018-07-27T02:08:03.000Z","4.433"
"47141","1854182","13069205","2018-09-19T22:37:50.000Z","18.933"
"34078","1025252","5623718","2018-09-06T16:06:05.000Z","6.633"
"66130","4315136","29558785","2018-10-30T03:05:52.000Z","9"
"101265","2540259","18278478","2018-10-15T19:57:23.000Z","7.233"
"16779","1786561","8292420","2018-05-25T15:56:48.000Z","3.9"
"11923","1394092","10437539","2018-10-04T18:40:13.000Z","7.466"
"215260","670629","3891655","2018-07-20T16:58:04.000Z","8.066"
